Package             Version     Latest      Type
------------------- ----------- ----------- -----
asttokens           2.0.5       2.0.8       wheel
attrs               21.4.0      22.1.0      wheel
autopep8            1.6.0       1.7.0       wheel
beautifulsoup4      4.10.0      4.11.1      wheel
bleach              4.1.0       5.0.1       wheel
blinker             1.4         1.5         wheel
cachetools          5.0.0       5.2.0       wheel
certifi             2021.10.8   2022.9.14   wheel
cffi                1.15.0      1.15.1      wheel
charset-normalizer  2.0.12      2.1.1       wheel
click               8.0.4       8.1.3       wheel
colorama            0.4.4       0.4.5       wheel
debugpy             1.6.0       1.6.3       wheel
executing           0.8.3       1.0.0       wheel
fastjsonschema      2.15.3      2.16.1      wheel
fonttools           4.28.5      4.37.2      wheel
idna                3.3         3.4         wheel
importlib-metadata  4.11.3      4.12.0      wheel
ipykernel           6.12.1      6.15.3      wheel
ipython             8.2.0       8.5.0       wheel
ipywidgets          7.7.0       8.0.2       wheel
Jinja2              3.1.1       3.1.2       wheel
jsonschema          4.4.0       4.16.0      wheel
jupyter-client      7.2.1       7.3.5       wheel
jupyter-core        4.9.2       4.11.1      wheel
jupyterlab-pygments 0.1.2       0.2.2       wheel
jupyterlab-widgets  1.1.0       3.0.3       wheel
kiwisolver          1.3.2       1.4.4       wheel
lxml                4.7.1       4.9.1       wheel
matplotlib          3.5.1       3.6.0       wheel
matplotlib-inline   0.1.3       0.1.6       wheel
mistune             0.8.4       2.0.4       wheel
nbclient            0.5.13      0.6.8       wheel
nbconvert           6.4.5       7.0.0       wheel
nbformat            5.3.0       5.5.0       wheel
notebook            6.4.10      6.4.12      wheel
numpy               1.21.4      1.23.3      wheel
openpyxl            3.0.9       3.0.10      wheel
pandas              1.3.4       1.4.4       wheel
Pillow              9.0.0       9.2.0       wheel
pip                 22.0.4      22.2.2      wheel
plotly              5.7.0       5.10.0      wheel
prometheus-client   0.14.0      0.14.1      wheel
prompt-toolkit      3.0.29      3.0.31      wheel
protobuf            3.20.0      4.21.6      wheel
psutil              5.9.0       5.9.2       wheel
pyarrow             7.0.0       9.0.0       wheel
pycodestyle         2.8.0       2.9.1       wheel
Pygments            2.11.2      2.13.0      wheel
pyparsing           3.0.6       3.0.9       wheel
python-dotenv       0.19.2      0.21.0      wheel
pywin32             303         304         wheel
pyzmq               22.3.0      24.0.0      wheel
requests            2.27.1      2.28.1      wheel
setuptools          58.1.0      65.3.0      wheel
soupsieve           2.3.1       2.3.2.post1 wheel
stack-data          0.2.0       0.5.0       wheel
streamlit           1.8.1       1.12.2      wheel
streamlit-aggrid    0.2.3.post2 0.3.3       wheel
terminado           0.13.3      0.15.0      wheel
toolz               0.11.2      0.12.0      wheel
tornado             6.1         6.2         wheel
traitlets           5.1.1       5.4.0       wheel
tzdata              2022.1      2022.2      wheel
urllib3             1.26.9      1.26.12     wheel
validators          0.18.2      0.20.0      sdist
watchdog            2.1.7       2.1.9       wheel
widgetsnbextension  3.6.0       4.0.3       wheel
XlsxWriter          3.0.2       3.0.3       wheel
zipp                3.8.0       3.8.1       wheel
